Build up box 32 & 33, 2025-04-08T20:00:00+02:00, 2025-04-08T23:00:00+02:00
License verification (truck 1), 2025-04-09T08:00:00+02:00, 2025-04-09T08:30:00+02:00
Track Session 1, 2025-04-09T09:00:00+02:00, 2025-04-09T09:45:00+02:00
Track Session 2, 2025-04-09T10:30:00+02:00, 2025-04-09T11:15:00+02:00
Lunch break, 2025-04-09T12:00:00+02:00, 2025-04-09T13:00:00+02:00
Cars pushed to grid, 2025-04-09T12:15:00+02:00, 2025-04-09T12:45:00+02:00
Drivers ready on grid for rolling shoot, 2025-04-09T12:45:00+02:00, 2025-04-09T13:00:00+02:00
Rolling Photoshoot (2 laps), 2025-04-09T13:00:00+02:00, 2025-04-09T13:15:00+02:00
Track Session 3, 2025-04-09T13:15:00+02:00, 2025-04-09T14:00:00+02:00
Track Session 4, 2025-04-09T14:50:00+02:00, 2025-04-09T15:35:00+02:00
Track Session 5, 2025-04-09T16:25:00+02:00, 2025-04-09T16:45:00+02:00
Practice start session, 2025-04-09T16:50:00+02:00, 2025-04-09T17:10:00+02:00
Garages must be clean & empty, 2025-04-09T19:00:00+02:00, 2025-04-09T19:00:00+02:00
