0,#29 Technical Scrutineering (Team Pitbox), 2026-05-06T12:00:00+02:00, 2026-05-06T12:30:00+02:00
0,#96 Technical Scrutineering (Team Pitbox), 2026-05-06T12:30:00+02:00, 2026-05-06T13:00:00+02:00
0,Lunch (Pickup Lunch Boxes), 2026-05-06T13:00:00+02:00, 2026-05-06T13:00:00+02:00
0,Tire Pickup, 2026-05-06T13:30:00+02:00, 2026-05-06T15:30:00+02:00
0,Fuel Zone Open, 2026-05-06T14:00:00+02:00, 2026-05-06T14:00:00+02:00
0,Talent Pool kick-off meeting, 2026-05-06T14:45:00+02:00, 2026-05-06T15:45:00+02:00
2,Trackwalk Opportunity, 2026-05-06T15:00:00+02:00, 2026-05-06T17:30:00+02:00
0,Tire Registration, 2026-05-06T16:00:00+02:00, 2026-05-06T18:00:00+02:00
0,Fuel Zone Closed, 2026-05-06T17:00:00+02:00, 2026-05-06T17:00:00+02:00
3,Team Manager Meeting, 2026-05-06T19:00:00+02:00, 2026-05-06T19:30:00+02:00
0,Dinner, 2026-05-06T19:00:00+02:00, 2026-05-06T20:00:00+02:00
0,Breakfast, 2026-05-07T07:00:00+02:00, 2026-05-07T08:30:00+02:00
0,Fuel Zone Open, 2026-05-07T08:00:00+02:00, 2026-05-07T08:00:00+02:00
2,Driver's Briefing, 2026-05-07T08:15:00+02:00, 2026-05-07T08:45:00+02:00
0,Keep the pitlane clear, 2026-05-07T09:00:00+02:00, 2026-05-07T10:00:00+02:00
1,Free Practice 1, 2026-05-07T10:05:00+02:00, 2026-05-07T10:45:00+02:00
0,Fuel Zone Closed, 2026-05-07T12:00:00+02:00, 2026-05-07T12:00:00+02:00
0,Lunch, 2026-05-07T12:45:00+02:00, 2026-05-07T13:30:00+02:00
0,Keep the pitlane clear, 2026-05-07T13:45:00+02:00, 2026-05-07T14:40:00+02:00
0,Fuel Zone Open, 2026-05-07T14:00:00+02:00, 2026-05-07T14:00:00+02:00
1,Free Practice 2, 2026-05-07T14:45:00+02:00, 2026-05-07T15:25:00+02:00
0,Fuel Zone Closed, 2026-05-07T17:00:00+02:00, 2026-05-07T17:00:00+02:00
0,Keep the pitlane clear, 2026-05-07T17:10:00+02:00, 2026-05-07T18:05:00+02:00
0,Dinner, 2026-05-07T19:00:00+02:00, 2026-05-07T20:00:00+02:00
0,Trackwalk Opportunity, 2026-05-07T19:15:00+02:00, 2026-05-07T21:15:00+02:00
0,Breakfast, 2026-05-08T08:00:00+02:00, 2026-05-08T09:00:00+02:00
0,Fuel Zone Open, 2026-05-08T08:00:00+02:00, 2026-05-08T08:00:00+02:00
0,Keep the pitlane clear, 2026-05-08T09:10:00+02:00, 2026-05-08T10:05:00+02:00
0,Fuel Zone Closed, 2026-05-08T12:00:00+02:00, 2026-05-08T12:00:00+02:00
1,Qualifying, 2026-05-08T12:05:00+02:00, 2026-05-08T12:40:00+02:00
2,Post QF interview pole overall & Rookie, 2026-05-08T13:00:00+02:00, 2026-05-08T13:30:00+02:00
0,Lunch, 2026-05-08T13:45:00+02:00, 2026-05-08T14:30:00+02:00
0,Fuel Open, 2026-05-08T14:00:00+02:00, 2026-05-08T14:00:00+02:00
0,Keep the pitlane clear, 2026-05-08T16:25:00+02:00, 2026-05-08T17:40:00+02:00
0,Fuel Zone Closed, 2026-05-08T17:00:00+02:00, 2026-05-08T17:00:00+02:00
0,Pitlane Open Race 1, 2026-05-08T17:40:00+02:00, 2026-05-08T17:50:00+02:00
1,Race 1, 2026-05-08T18:00:00+02:00, 2026-05-08T18:35:00+02:00
2,Post Race 1 interview pole overall & Rookie, 2026-05-08T19:00:00+02:00, 2026-05-08T19:30:00+02:00
0,Dinner, 2026-05-08T19:45:00+02:00, 2026-05-08T20:30:00+02:00
0,Trackwalk Opportunity, 2026-05-08T18:50:00+02:00, 2026-05-08T20:50:00+02:00
0,Breakfast, 2026-05-09T07:30:00+02:00, 2026-05-09T09:00:00+02:00
0,Keep the pitlane clear, 2026-05-09T09:05:00+02:00, 2026-05-09T10:20:00+02:00
0,Pitlane Open Race 2, 2026-05-09T10:20:00+02:00, 2026-05-09T10:30:00+02:00
1,Race 2, 2026-05-09T10:40:00+02:00, 2026-05-09T11:15:00+02:00
2,Post Race 2 interview pole overall & Rookie, 2026-05-09T11:30:00+02:00, 2026-05-09T12:00:00+02:00
0,Lunch, 2026-05-09T13:30:00+02:00, 2026-05-09T14:15:00+02:00
0,Dismantling Inside Garages Allowed, 2026-05-09T14:00:00+02:00, 2026-05-09T14:00:00+02:00
